TimeStamp: 00:00:06 	 Temp: 41.2 *F 	 Humidity: 92.0%
TimeStamp: 00:00:16 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:00:27 	 Temp: 41.0 *F 	 Humidity: 91.9%
TimeStamp: 00:00:37 	 Temp: 41.0 *F 	 Humidity: 91.9%
TimeStamp: 00:00:47 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:00:57 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:01:08 	 Temp: 41.2 *F 	 Humidity: 91.8%
TimeStamp: 00:01:18 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:01:38 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:01:49 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:01:59 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:02:09 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:02:19 	 Temp: 41.2 *F 	 Humidity: 92.1%
TimeStamp: 00:02:30 	 Temp: 41.2 *F 	 Humidity: 92.1%
TimeStamp: 00:02:40 	 Temp: 41.2 *F 	 Humidity: 92.1%
TimeStamp: 00:02:50 	 Temp: 41.2 *F 	 Humidity: 92.1%
TimeStamp: 00:03:01 	 Temp: 41.2 *F 	 Humidity: 92.0%
TimeStamp: 00:03:21 	 Temp: 41.2 *F 	 Humidity: 92.0%
TimeStamp: 00:03:42 	 Temp: 41.2 *F 	 Humidity: 91.9%
TimeStamp: 00:03:52 	 Temp: 41.4 *F 	 Humidity: 92.0%
TimeStamp: 00:04:02 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:04:12 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:04:23 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:04:33 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:04:43 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:04:53 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:05:04 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:05:14 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:05:24 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:05:35 	 Temp: 41.4 *F 	 Humidity: 91.8%
TimeStamp: 00:05:45 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:05:55 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:06:05 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:06:16 	 Temp: 41.4 *F 	 Humidity: 91.9%
TimeStamp: 00:06:26 	 Temp: 41.4 *F 	 Humidity: 92.0%
TimeStamp: 00:06:36 	 Temp: 41.4 *F 	 Humidity: 92.0%
TimeStamp: 00:06:46 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:06:57 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:07:07 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:07:17 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:07:27 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:07:38 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:07:48 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:07:58 	 Temp: 41.5 *F 	 Humidity: 92.2%
TimeStamp: 00:08:09 	 Temp: 41.5 *F 	 Humidity: 92.2%
TimeStamp: 00:08:19 	 Temp: 41.5 *F 	 Humidity: 92.2%
TimeStamp: 00:08:29 	 Temp: 41.5 *F 	 Humidity: 92.2%
TimeStamp: 00:08:39 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:08:50 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:09:00 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:09:10 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:09:20 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:09:31 	 Temp: 41.5 *F 	 Humidity: 92.1%
TimeStamp: 00:09:41 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:09:51 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:10:01 	 Temp: 41.5 *F 	 Humidity: 92.0%
TimeStamp: 00:10:12 	 Temp: 41.7 *F 	 Humidity: 92.1%
TimeStamp: 00:10:22 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:10:32 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:10:53 	 Temp: 41.7 *F 	 Humidity: 92.3%
TimeStamp: 00:11:03 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:11:13 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:11:24 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:11:44 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:12:05 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:12:15 	 Temp: 41.7 *F 	 Humidity: 92.1%
TimeStamp: 00:12:25 	 Temp: 41.7 *F 	 Humidity: 92.2%
TimeStamp: 00:12:46 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:12:56 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:13:06 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:13:17 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:13:37 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:13:47 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:13:58 	 Temp: 41.9 *F 	 Humidity: 92.3%
TimeStamp: 00:14:08 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:14:28 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:14:39 	 Temp: 41.9 *F 	 Humidity: 92.1%
TimeStamp: 00:14:49 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:14:59 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:15:09 	 Temp: 41.9 *F 	 Humidity: 92.2%
TimeStamp: 00:15:20 	 Temp: 41.9 *F 	 Humidity: 92.2%
